Date,Return,,D1,D2,D3,D4,D5
24/09/2012 0:00,0.001766419,1,1,0,0,0,0
25/09/2012 0:00,-0.004408338,2,0,1,0,0,0
26/09/2012 0:00,-0.008374628,3,0,0,1,0,0
27/09/2012 0:00,0.001845832,4,0,0,0,1,0
28/09/2012 0:00,0.004073054,5,0,0,0,0,1
1/10/2012 0:00,-0.005125117,1,1,0,0,0,0
2/10/2012 0:00,0.00558126,2,0,1,0,0,0
3/10/2012 0:00,-0.004421173,3,0,0,1,0,0
4/10/2012 0:00,-0.000298047,4,0,0,0,1,0
5/10/2012 0:00,0.001081125,5,0,0,0,0,1
8/10/2012 0:00,-0.009768421,1,1,0,0,0,0
9/10/2012 0:00,-0.003140524,2,0,1,0,0,0
11/10/2012 0:00,-0.018651441,4,0,0,0,1,0
12/10/2012 0:00,-0.001971982,5,0,0,0,0,1
15/10/2012 0:00,-0.00244214,1,1,0,0,0,0
16/10/2012 0:00,0.007000754,2,0,1,0,0,0
17/10/2012 0:00,-0.000886499,3,0,0,1,0,0
18/10/2012 0:00,0.000135334,4,0,0,0,1,0
19/10/2012 0:00,-0.007617321,5,0,0,0,0,1
22/10/2012 0:00,-0.004832943,1,1,0,0,0,0
23/10/2012 0:00,-0.004834653,2,0,1,0,0,0
24/10/2012 0:00,-0.003084843,3,0,0,1,0,0
25/10/2012 0:00,-0.007244314,4,0,0,0,1,0
26/10/2012 0:00,-0.017785794,5,0,0,0,0,1
29/10/2012 0:00,-0.005959661,1,1,0,0,0,0
30/10/2012 0:00,0.012739176,2,0,1,0,0,0
31/10/2012 0:00,-0.002305451,3,0,0,1,0,0
1/11/2012 0:00,0.001894693,4,0,0,0,1,0
2/11/2012 0:00,0.004284905,5,0,0,0,0,1
5/11/2012 0:00,-0.003488563,1,1,0,0,0,0
6/11/2012 0:00,0.007116958,2,0,1,0,0,0
7/11/2012 0:00,0.006954102,3,0,0,1,0,0
8/11/2012 0:00,-0.00613228,4,0,0,0,1,0
9/11/2012 0:00,0.006960795,5,0,0,0,0,1
12/11/2012 0:00,-0.003498426,1,1,0,0,0,0
13/11/2012 0:00,-0.018287378,2,0,1,0,0,0
14/11/2012 0:00,0.00331569,3,0,0,1,0,0
15/11/2012 0:00,-0.002224639,4,0,0,0,1,0
16/11/2012 0:00,-0.001929398,5,0,0,0,0,1
19/11/2012 0:00,-0.000144439,1,1,0,0,0,0
20/11/2012 0:00,0.002343988,2,0,1,0,0,0
21/11/2012 0:00,-0.008048201,3,0,0,1,0,0
22/11/2012 0:00,0.002433315,4,0,0,0,1,0
23/11/2012 0:00,0.030525308,5,0,0,0,0,1
26/11/2012 0:00,0.011044469,1,1,0,0,0,0
27/11/2012 0:00,0.003077336,2,0,1,0,0,0
28/11/2012 0:00,0.000636386,3,0,0,1,0,0
29/11/2012 0:00,0.009187027,4,0,0,0,1,0
30/11/2012 0:00,0.010159401,5,0,0,0,0,1
3/12/2012 0:00,0.002600809,1,1,0,0,0,0
4/12/2012 0:00,0.000140758,2,0,1,0,0,0
5/12/2012 0:00,0.006304248,3,0,0,1,0,0
6/12/2012 0:00,-0.003377363,4,0,0,0,1,0
7/12/2012 0:00,0.002489271,5,0,0,0,0,1
10/12/2012 0:00,-0.004295874,1,1,0,0,0,0
11/12/2012 0:00,0.000550468,2,0,1,0,0,0
12/12/2012 0:00,0.009997548,3,0,0,1,0,0
13/12/2012 0:00,0.008661761,4,0,0,0,1,0
14/12/2012 0:00,-0.007546665,5,0,0,0,0,1
17/12/2012 0:00,-0.008805016,1,1,0,0,0,0
18/12/2012 0:00,0.001631481,2,0,1,0,0,0
19/12/2012 0:00,0.004403051,3,0,0,1,0,0
20/12/2012 0:00,-0.010739399,4,0,0,0,1,0
21/12/2012 0:00,-0.009993842,5,0,0,0,0,1
24/12/2012 0:00,0.002070991,1,1,0,0,0,0
25/12/2012 0:00,0.013320683,2,0,1,0,0,0
26/12/2012 0:00,-0.000311691,3,0,0,1,0,0
27/12/2012 0:00,0.001860968,4,0,0,0,1,0
28/12/2012 0:00,0.006657588,5,0,0,0,0,1
2/01/2013 0:00,0.010300712,3,0,0,1,0,0
3/01/2013 0:00,0.007379568,4,0,0,0,1,0
4/01/2013 0:00,-0.003944254,5,0,0,0,0,1
7/01/2013 0:00,-0.006542036,1,1,0,0,0,0
8/01/2013 0:00,-0.004319995,2,0,1,0,0,0
9/01/2013 0:00,0.002196592,3,0,0,1,0,0
10/01/2013 0:00,0.009388967,4,0,0,0,1,0
11/01/2013 0:00,0.000960894,5,0,0,0,0,1
14/01/2013 0:00,0.000616285,1,1,0,0,0,0
15/01/2013 0:00,-0.007563091,2,0,1,0,0,0
16/01/2013 0:00,-0.00835284,3,0,0,1,0,0
17/01/2013 0:00,-0.010940849,4,0,0,0,1,0
18/01/2013 0:00,0.015144744,5,0,0,0,0,1
21/01/2013 0:00,-0.001028633,1,1,0,0,0,0
22/01/2013 0:00,0.004414904,2,0,1,0,0,0
23/01/2013 0:00,-0.001924744,3,0,0,1,0,0
24/01/2013 0:00,-0.006242172,4,0,0,0,1,0
25/01/2013 0:00,-0.0030465,5,0,0,0,0,1
28/01/2013 0:00,0.005470756,1,1,0,0,0,0
29/01/2013 0:00,0.01125641,2,0,1,0,0,0
30/01/2013 0:00,0.003962911,3,0,0,1,0,0
31/01/2013 0:00,0.002173059,4,0,0,0,1,0
1/02/2013 0:00,0.000757698,5,0,0,0,0,1
4/02/2013 0:00,0.008516356,1,1,0,0,0,0
5/02/2013 0:00,-0.004581916,2,0,1,0,0,0
6/02/2013 0:00,0.002495946,3,0,0,1,0,0
18/02/2013 0:00,0.004653569,1,1,0,0,0,0
19/02/2013 0:00,0.002181798,2,0,1,0,0,0
20/02/2013 0:00,0.008532922,3,0,0,1,0,0
21/02/2013 0:00,-0.008962606,4,0,0,0,1,0
22/02/2013 0:00,-0.001224726,5,0,0,0,0,1
25/02/2013 0:00,-5.04E-06,1,1,0,0,0,0
26/02/2013 0:00,-0.008437986,2,0,1,0,0,0
27/02/2013 0:00,0.00216493,3,0,0,1,0,0
28/02/2013 0:00,0,4,0,0,0,1,0
1/03/2013 0:00,0.008403446,5,0,0,0,0,1
4/03/2013 0:00,-0.012290481,1,1,0,0,0,0
5/03/2013 0:00,0.00827472,2,0,1,0,0,0
6/03/2013 0:00,0.002214927,3,0,0,1,0,0
7/03/2013 0:00,0.0012834,4,0,0,0,1,0
8/03/2013 0:00,0.006839232,5,0,0,0,0,1
11/03/2013 0:00,0.002937623,1,1,0,0,0,0
12/03/2013 0:00,-0.005489825,2,0,1,0,0,0
13/03/2013 0:00,0.000100037,3,0,0,1,0,0
14/03/2013 0:00,-0.005486846,4,0,0,0,1,0
15/03/2013 0:00,-0.003056763,5,0,0,0,0,1
18/03/2013 0:00,-0.014759991,1,1,0,0,0,0
19/03/2013 0:00,0.003467186,2,0,1,0,0,0
